Reference,Description_1,Unit_L,Unit_W,Unit_H,Test_Peformed,Materials,Price,Description_2,Price_Type,MOQ,Qty_Per_Carton,Carton_L,Carton_W,Carton_H
HP-L1749,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.5,,1,,,,,
HP-L17525A,Party Bracelet,,,,,Alloy/Resin/Plastic/ABS,3.6,Inner Dia: 52mm,1,,,,,
HP-L17525B,Party Bracelet,,,,,Alloy/Resin/Plastic/ABS,3.6,Inner Dia: 52mm,1,,,,,
HP-L175301,Party Bracelet,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L1753011,Party Bracelet,,,,,Alloy/Resin/Plastic/ABS,2,,1,,,,,
HP-L1753011B,Party Bracelet,,,,,Alloy/Resin/Plastic/ABS,2,,1,,,,,
HP-L1753012,Party necklace,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L175302,Party decoration,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L175303,Party ring,,,,,Alloy/Resin/Plastic/ABS,3.3,,1,,,,,
HP-L175304,Party ring,,,,,Alloy/Resin/Plastic/ABS,2.5,,1,,,,,
HP-L175305,Party ring,,,,,Alloy/Resin/Plastic/ABS,3.4,,1,,,,,
HP-L175306,Party Bracelet,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L175307,Party necklace,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L175308,Party necklace,,,,,Alloy/Resin/Plastic/ABS,3.66,,1,,,,,
HP-L175309,Party necklace,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L17614-1,Halloween bracelet,,,,,Alloy/Resin/Plastic/ABS,4,,1,,,,,
HP-L18101,Party necklace,,,,,Alloy,2.6,D6.7cm,1,,,,,
HP-L181015,Party necklace,,,,,Alloy/Resin/Plastic/ABS,3.9,,1,,,,,
HP-L181025B,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,,,1,,,,,
HP-L190618,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.67,,1,,144,30,25,20
HP-L190619,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.02,,1,,,,,
HP-L190620,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.73,,1,,,,,
HP-L190621,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.5,,1,,,,,
HP-L190622,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.47,,1,,,,,
HP-L190623,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.21,,1,,,,,
HP-L190624,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.97,,1,,,,,
HP-L190632,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.38,,1,,,,,
HP-L190633,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.34,,1,,,,,
HP-L190633S,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.34,,1,,,,,
HP-L190902,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,4.9,,1,,,,,
HP-L190903,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,4.81,,1,,,,,
HP-L190904,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.6,,1,,,,,
HP-L190905,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.51,,1,,,,,
HP-L190906,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.71,,1,,,,,
HP-L190907,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.6,,1,,,,,
HP-L190908,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,4.9,,1,,,,,
HP-L190909,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,4.81,,1,,,,,
HP-L190910,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.3,,1,,,,,
HP-L190911,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.2,,1,,,,,
HP-L190914,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,4.81,,1,,,,,
HP-L190915,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.25,,1,,,,,
HP-L190916,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,3.15,,1,,,,,
HP-L190917,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.86,,1,,,,,
HP-L190918,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.8,,1,,,,,
HP-L190919,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.8,,1,,,,,
HP-L190920,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.8,,1,,,,,
HP-L190921,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.75,,1,,,,,
HP-L190922,Halloween necklace,39,,,,Alloy/Resin/Plastic/ABS,2.76,,1,,,,,
